날짜,콜금리(%)
2022.03.02,1.39
2022.03.03,1.28
2022.03.04,1.24
2022.03.07,1.19
2022.03.08,1.22
2022.03.10,1.24
2022.03.11,1.31
2022.03.14,1.31
2022.03.15,1.26
2022.03.16,1.24
2022.03.17,1.24
2022.03.18,1.24
2022.03.21,1.23
2022.03.22,1.21
2022.03.23,1.21
2022.03.24,1.12
2022.03.25,1.18
2022.03.28,1.24
2022.03.29,1.2
2022.03.30,1.21
2022.03.31,1.22
2022.04.01,1.45
2022.04.04,1.24
2022.04.05,1.25
2022.04.06,1.28
2022.04.07,1.19
2022.04.08,1.16
2022.04.11,1.19
2022.04.12,1.16
2022.04.13,1.18
2022.04.14,1.14
2022.04.15,1.33
2022.04.18,1.43
2022.04.19,1.39
2022.04.20,1.39
2022.04.21,1.37
2022.04.22,1.49
2022.04.25,1.44
2022.04.26,1.41
2022.04.27,1.38
2022.04.28,1.35
2022.04.29,1.34
2022.05.02,1.53
2022.05.03,1.45
2022.05.04,1.44
2022.05.06,1.44
2022.05.09,1.41
2022.05.10,1.34
2022.05.11,1.35
2022.05.12,1.47
2022.05.13,1.72
2022.05.16,1.42
2022.05.17,1.45
2022.05.18,1.47
2022.05.19,1.49
2022.05.20,1.5
2022.05.23,1.52
2022.05.24,1.51
2022.05.25,1.49
2022.05.26,1.5
2022.05.27,1.68
2022.05.30,1.75
2022.05.31,1.73
2022.06.02,1.86
2022.06.03,1.7
2022.06.07,1.64
2022.06.08,1.47
2022.06.09,1.55
2022.06.10,1.79
2022.06.13,1.96
2022.06.14,1.73
2022.06.15,1.69
2022.06.16,1.66
2022.06.17,1.69
2022.06.20,1.73
2022.06.21,1.71
2022.06.22,1.71
2022.06.23,1.71
2022.06.24,1.75
2022.06.27,1.84
2022.06.28,1.82
2022.06.29,1.82
2022.06.30,1.8
