,birth_year,credit_score,yearly_income,income_type,employment_type,houseown_type,desired_amount,purpose,existing_loan_cnt,existing_loan_amt,gender,time,cluster,count,kmeans_minmax
0,30,550.0,41000000.0,EARNEDINCOME,계약직,전월세,5000000.0,전월세보증금,2.0,42000000.0,1.0,386,0,1,0
1,30,980.0,30000000.0,EARNEDINCOME,정규직,전월세,10000000.0,생활비,1.0,30000000.0,1.0,33,0,1,3
3,40,830.0,250000000.0,PRIVATEBUSINESS,정규직,전월세,600000000.0,전월세보증금,4.0,255000000.0,0.0,215,0,1,1
9,20,880.0,53000000.0,PRACTITIONER,정규직,전월세,130000000.0,전월세보증금,2.0,127000000.0,0.0,411,0,1,1
10,40,620.0,42000000.0,EARNEDINCOME,정규직,전월세,5000000.0,생활비,2.0,20000000.0,1.0,1023,0,1,3
20,30,920.0,60000000.0,EARNEDINCOME,정규직,자가,70000000.0,대환대출,6.0,283000000.0,1.0,849,0,3,0
31,60,670.0,20000000.0,OTHERINCOME,기타,기타가족소유,30000000.0,생활비,5.0,37000000.0,1.0,788,0,2,2
35,40,620.0,77000000.0,EARNEDINCOME,정규직,전월세,30000000.0,생활비,9.0,199000000.0,1.0,2261,0,3,3
38,40,610.0,73000000.0,EARNEDINCOME,정규직,자가,50000000.0,대환대출,7.0,61000000.0,1.0,597,0,1,0
43,40,880.0,60000000.0,EARNEDINCOME,정규직,전월세,30000000.0,사업자금,7.0,82000000.0,1.0,58,0,3,0
46,40,920.0,50000000.0,EARNEDINCOME,정규직,전월세,30000000.0,대환대출,5.0,172000000.0,1.0,236,0,1,0
53,40,650.0,76000000.0,EARNEDINCOME,정규직,기타가족소유,15000000.0,생활비,2.0,18000000.0,1.0,3659,0,15,3
60,40,930.0,50000000.0,EARNEDINCOME,정규직,자가,71000000.0,대환대출,2.0,137000000.0,1.0,1424,0,5,0
62,20,850.0,50000000.0,EARNEDINCOME,정규직,기타가족소유,5000000.0,생활비,4.0,55000000.0,1.0,162,0,1,3
64,20,880.0,26000000.0,EARNEDINCOME,정규직,전월세,8000000.0,대환대출,6.0,89000000.0,0.0,711,0,1,1
