,birth_year,credit_score,yearly_income,income_type,employment_type,houseown_type,desired_amount,purpose,existing_loan_cnt,existing_loan_amt,gender,time,cluster,count,kmeans_minmax_label3
6,40,580.0,79.02529973621358,0,3,0,1732.0508075688772,3,1.0905077326652577,7416.198487095663,0.0,4.726341915656196,1,3,2
12,20,670.0,71.40741917751113,0,3,3,1732.0508075688772,1,1.0,1732.0508075688772,1.0,4.49157444576309,1,4,1
19,30,920.0,74.61745347323253,0,3,0,5477.2255750516615,3,1.147202690439877,6000.0,1.0,4.564281614449273,1,2,1
25,40,840.0,91.46912192286945,0,3,2,10000.0,3,1.2510334048590739,12165.52506059644,0.0,4.524321992349652,1,2,2
29,30,950.0,83.23582900575634,5,3,3,8944.27190999916,2,1.0,11401.75425099138,0.0,5.3182958969449885,1,2,2
39,20,750.0,71.40741917751113,0,3,3,5477.2255750516615,3,1.0905077326652577,4898.979485566356,0.0,4.879729685093357,1,2,2
42,50,810.0,162.65765616977856,5,1,2,7071.067811865475,1,1.0,5291.502622129181,1.0,3.208680436096278,1,3,0
47,40,600.0,88.01117367933934,1,0,0,4472.13595499958,1,1.147202690439877,4242.640687119285,1.0,0.0,1,1,0
48,30,920.0,76.91605673134588,2,1,3,7071.067811865475,3,1.147202690439877,5000.0,1.0,0.0,1,1,0
50,50,550.0,97.12868336416696,0,3,2,2236.06797749979,3,1.4028505520066743,12727.922061357855,1.0,3.5170039631557115,1,3,1
56,20,840.0,61.16908849062524,3,1,0,1414.213562373095,3,1.0,4242.640687119285,1.0,3.350368958834508,1,2,0
58,30,890.0,62.23329772884784,3,1,2,5000.0,1,1.2753731068584542,17888.54381999832,1.0,4.346773933354619,1,3,0
66,40,650.0,89.09126743510708,0,3,2,3162.2776601683795,1,1.3495037187195416,11090.536506409417,1.0,6.4492843545753855,1,7,1
70,50,690.0,84.08964152537145,0,3,3,7071.067811865475,3,1.0905077326652577,9797.958971132712,1.0,4.9388887247336255,1,1,1
76,20,970.0,90.4729394452974,0,3,3,6324.555320336759,1,1.147202690439877,13341.664064126333,1.0,3.702878502030831,1,5,1
77,30,940.0,131.60740129524925,5,1,3,14142.13562373095,2,1.147202690439877,6782.329983125268,1.0,4.6386889086626635,1,3,0
83,40,670.0,77.45966692414834,0,3,3,5477.2255750516615,3,1.189207115002721,10583.005244258362,1.0,7.091485305824206,1,3,1
93,40,610.0,79.52707287670506,5,1,3,5477.2255750516615,2,1.147202690439877,8062.25774829855,0.0,2.1657367706679937,1,1,2
100,30,880.0,80.97801259787747,0,3,2,15811.388300841896,6,1.0,12767.145334803705,1.0,4.62611441266131,1,2,1
103,50,670.0,89.79007600118484,0,3,0,4472.13595499958,3,1.2968395546510096,10630.145812734649,1.0,0.0,1,1,1
107,60,650.0,47.28708045015879,3,1,0,2000.0,3,1.2510334048590739,4000.0,0.0,2.2795070569547775,1,2,2
109,30,600.0,85.32355998949247,0,3,3,8944.27190999916,5,1.0,4242.640687119285,1.0,2.2795070569547775,1,1,1
111,40,970.0,118.9207115002721,0,3,2,14142.13562373095,3,1.189207115002721,22671.56809750927,1.0,0.0,1,2,1
116,40,610.0,77.99206709850829,0,3,3,3162.2776601683795,3,1.4351888878844894,6855.654600401044,0.0,6.391666170227524,1,4,2
118,50,710.0,75.79289311365564,0,3,3,3872.983346207417,1,1.2968395546510096,5000.0,1.0,3.3831232821550556,1,1,1
120,40,760.0,81.903625881272,0,2,3,5477.2255750516615,1,1.0,5477.2255750516615,0.0,2.5900200641113513,1,3,2
121,30,730.0,64.21141351518172,0,3,3,4472.13595499958,6,1.0,0.0,0.0,0.0,1,1,2
124,40,920.0,100.0,3,1,2,7071.067811865475,1,1.2510334048590739,10908.712114635715,1.0,4.488812947719016,1,1,0
128,40,760.0,76.91605673134588,3,1,0,6324.555320336759,2,1.0,4242.640687119285,0.0,7.479135316584932,1,19,2
129,30,660.0,94.57416090031758,5,1,3,7071.067811865475,7,1.2968395546510096,11661.903789690601,1.0,4.608335988357978,1,4,0
138,20,700.0,74.00828044922852,0,3,0,5291.502622129181,3,1.0905077326652577,5000.0,0.0,0.0,1,2,2
145,40,610.0,88.01117367933934,0,3,3,6324.555320336759,1,1.147202690439877,5656.85424949238,1.0,4.881879819867135,1,1,1
146,30,950.0,76.91605673134588,0,3,3,3162.2776601683795,1,1.147202690439877,5477.2255750516615,1.0,1.8988289221159418,1,1,1
149,30,650.0,91.46912192286945,0,3,0,7071.067811865475,3,1.147202690439877,6000.0,1.0,0.0,1,1,1
156,40,930.0,84.08964152537145,5,1,0,7071.067811865475,1,1.0,5196.152422706632,1.0,0.0,1,1,0
161,30,690.0,74.00828044922852,3,1,0,3162.2776601683795,3,1.2510334048590739,4795.83152331272,0.0,7.590747075456521,1,17,2
169,40,710.0,94.57416090031758,5,1,0,5477.2255750516615,3,1.189207115002721,6855.654600401044,0.0,3.295873251689181,1,1,2
170,30,850.0,74.61745347323253,0,3,0,3162.2776601683795,1,1.0,4242.640687119285,0.0,0.0,1,1,2
173,30,700.0,54.772255750516614,1,3,3,8774.964387392121,1,1.147202690439877,8660.254037844386,0.0,3.1543421455299043,1,2,2
179,20,920.0,74.61745347323253,0,3,0,5477.2255750516615,7,1.0,4242.640687119285,1.0,0.0,1,1,1
184,20,930.0,74.61745347323253,0,3,0,4472.13595499958,3,1.0,1732.0508075688772,1.0,0.0,1,1,1
185,50,610.0,85.72321289096399,0,3,3,3872.983346207417,1,1.0,3316.6247903554,1.0,5.830951894845301,1,4,1
186,20,640.0,49.49232003839765,3,1,0,1732.0508075688772,1,1.0905077326652577,2000.0,1.0,3.528441525374727,1,1,0
188,30,700.0,66.87403049764221,0,3,3,3162.2776601683795,4,1.147202690439877,6557.438524302001,1.0,0.0,1,1,1
190,20,840.0,75.21206186172788,0,3,0,4472.13595499958,0,1.147202690439877,6000.0,1.0,2.990697562442441,1,2,1
191,20,740.0,84.08964152537145,0,3,3,6324.555320336759,1,1.2228445449938519,10198.03902718557,1.0,3.5565588200778455,1,1,1
193,40,660.0,91.46912192286945,5,3,2,7071.067811865475,1,1.0,3741.657386773941,1.0,0.0,1,1,0
198,30,730.0,75.21206186172788,0,0,3,3872.983346207417,1,1.0905077326652577,3605.5512754639894,1.0,1.0,1,1,0
200,20,740.0,54.772255750516614,3,1,0,1732.0508075688772,3,1.0,1732.0508075688772,1.0,2.449489742783178,1,1,0
201,40,700.0,76.91605673134588,1,3,2,2236.06797749979,3,1.0,4242.640687119285,1.0,4.458094538516629,1,2,1
202,30,570.0,79.52707287670506,1,2,0,8366.600265340756,1,1.0905077326652577,7280.1098892805185,1.0,4.661068652401553,1,5,1
217,30,560.0,79.52707287670506,0,3,3,3162.2776601683795,3,1.2510334048590739,7745.966692414834,0.0,0.0,1,1,2
218,30,890.0,99.49620563926881,2,1,3,4472.13595499958,1,1.0905077326652577,2828.42712474619,0.0,4.441067768376882,1,3,2
223,30,1000.0,86.88978326173194,0,3,3,11832.159566199232,6,1.0,6164.414002968976,1.0,3.1857325005549697,1,1,1
225,30,640.0,56.23413251903491,3,1,3,1000.0,3,1.2510334048590739,3605.5512754639894,0.0,6.044638269813192,1,8,2
234,50,690.0,100.0,5,1,3,2236.06797749979,3,1.0905077326652577,4898.979485566356,1.0,0.0,1,1,0
237,50,830.0,66.87403049764221,3,1,2,2449.489742783178,3,1.147202690439877,8544.003745317532,0.0,5.878291000481517,1,3,2
238,60,640.0,104.66351393921056,0,0,3,10000.0,1,1.189207115002721,12449.899597988733,1.0,5.4090181804700554,1,2,0
246,40,850.0,74.00828044922852,0,0,0,31622.776601683792,5,1.147202690439877,5099.019513592785,0.0,5.06473204392506,1,1,2
253,30,780.0,54.772255750516614,4,1,2,4472.13595499958,1,1.2228445449938519,10295.630140987001,0.0,7.772723452431127,1,12,2
254,40,740.0,37.60603093086394,2,1,3,4472.13595499958,3,1.0905077326652577,9380.83151964686,0.0,4.668457423786081,1,1,2
259,30,500.0,74.61745347323253,0,3,0,1000.0,3,1.147202690439877,6000.0,1.0,1.7320508075688772,1,2,1
268,20,750.0,0.0,3,1,0,1000.0,3,1.0,4242.640687119285,1.0,1.9679896712654306,1,2,0
272,60,820.0,62.23329772884784,1,3,3,2236.06797749979,3,1.147202690439877,4795.83152331272,1.0,0.0,1,1,1
275,50,940.0,87.26839694794393,0,3,2,21213.203435596424,6,1.147202690439877,9165.15138991168,1.0,0.0,1,1,1
278,50,490.0,86.1173529963367,0,0,0,3162.2776601683795,3,1.2510334048590739,9327.379053088815,1.0,0.0,1,1,0
282,30,650.0,81.903625881272,0,0,2,9486.832980505138,1,1.2753731068584542,8774.964387392121,1.0,4.518913349098668,1,2,0
283,30,700.0,74.00828044922852,3,1,0,4472.13595499958,1,1.147202690439877,4242.640687119285,1.0,3.4760676019885706,1,2,0
300,30,700.0,74.00828044922852,3,1,2,4472.13595499958,0,1.147202690439877,6633.2495807108,1.0,0.0,1,1,0
312,50,670.0,93.06048591020996,0,3,2,4472.13595499958,1,1.4028505520066743,17464.249196572982,1.0,5.429438824221832,1,2,1
